SpeciesName,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Genus
Acanthurus_dussumieri,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Acanthuriformes,,,Acanthuridae,Acanthurus
Prionurus_maculatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Acanthuriformes,,,Acanthuridae,Prionurus
Acanthurus_nigrofuscus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Acanthuriformes,,,Acanthuridae,Acanthurus
Naso_unicornis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Acanthuriformes,,,Acanthuridae,Naso
Acanthurus_triostegus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Acanthuriformes,,,Acanthuridae,Acanthurus
Neoachiropsetta_milfordi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Rhombosoleidae,Neoachiropsetta
Achiropsetta_tricholepis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Rhombosoleidae,Achiropsetta
Mancopsetta_maculata,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Rhombosoleidae,Mancopsetta
Acipenser_fulvescens,Osteichthyes,Actinopterygii,Actinopteri,Chondrostei,,,,,,,,,,,,,,Acipenseriformes,,,Acipenseridae,Acipenser
Scaphirhynchus_platorynchus,Osteichthyes,Actinopterygii,Actinopteri,Chondrostei,,,,,,,,,,,,,,Acipenseriformes,,,Acipenseridae,Scaphirhynchus
Alepisaurus_brevirostris,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Cyclosquamata,,,,,,,Aulopiformes,Alepisauroidei,,Alepisauridae,Alepisaurus
Alepocephalus_australis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Alepocephalus
Rouleina_attrita,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Rouleina
Bajacalifornia_megalops,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Bajacalifornia
Alepocephalus_productus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Alepocephalus
Talismania_longifilis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Talismania
Narcetes_stomias,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Narcetes
Alepocephalus_antipodianus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Alepocephalus
Xenodermichthys_copei,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Xenodermichthys
Rouleina_guentheri,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Rouleina
Leptochilichthys_agassizii,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Leptochilichthys
Conocara_murrayi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Alepocephali,,,,,,,,,Alepocephaliformes,,,Alepocephalidae,Conocara
